CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Sigla_Classe_Acoes_Preferenciais;Classe_Acoes_Preferenciais;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;PNA;Preferencial Classe A;0;0.000000
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;PNA;Preferencial Classe A;142559;100.000000
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;PNB;Preferencial Classe B;275526814;98.423000
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;PNC;Preferencial Classe C;1;100.000000
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;PNA;Preferencial Classe A;6565010;100.000000
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;PNB;Preferencial Classe B;5299415;17.905840
00.192.769/0001-59;2022-01-01;1;116220;NEUMARKT TRADE AND FINANCIAL CENTER S/A;PNA;Preferencial Classe A;0;0.000000
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;PNA;Preferencial Classe A;2143414;11.640000
00.359.742/0001-08;2022-01-01;5;125676;FICTOR ALIMENTOS S.A.;PNA;Preferencial Classe A;0;0.000000
00.644.907/0001-93;2022-01-01;5;125817;INVESTCO S.A.;PNA;Preferencial Classe A;16288514;4.240000
00.644.907/0001-93;2022-01-01;5;125817;INVESTCO S.A.;PNB;Preferencial Classe B;5156240;1.340000
00.644.907/0001-93;2022-01-01;5;125817;INVESTCO S.A.;PNC;Preferencial Classe C;107199382;27.900000
00.644.907/0001-93;2022-01-01;5;125817;INVESTCO S.A.;PNR;Preferencial Classe R;255559826;66.520000
00.776.574/0001-56;2022-01-01;16;127140;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;PNA;Preferencial Classe A;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;PNA;Preferencial Classe A;37680;100.000000
01.027.058/0001-91;2022-01-01;20;126320;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;PNA;Preferencial Classe A;0;0.000000
01.104.937/0001-70;2022-01-01;2;125970;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;PNA;Preferencial Classe A;0;0.000000
01.258.944/0001-26;2022-01-01;5;126330;RUMO MALHA SUL S.A.;PNA;Preferencial Classe A;0;0.000000
01.417.222/0001-77;2022-01-01;6;125816;MRS LOGISTICA S.A.;PNA;Preferencial Classe A;1055737;1.286289
01.417.222/0001-77;2022-01-01;6;125816;MRS LOGISTICA S.A.;PNB;Preferencial Classe B;895635;1.286996
01.545.826/0001-07;2022-01-01;13;125981;GAFISA S.A.;PNA;Preferencial Classe A;0;0.000000
01.599.101/0001-93;2022-01-01;33;126901;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;PNA;Preferencial Classe A;0;0.000000
01.851.771/0001-55;2022-01-01;2;125645;524 PARTICIPACOES S.A.;PNA;Preferencial Classe A;0;0.000000
01.938.783/0001-11;2022-01-01;6;126113;CIA PARTICIPACOES ALIANCA DA BAHIA;PNA;Preferencial Classe A;0;0.000000
02.016.440/0001-62;2022-01-01;5;125875;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;PNA;Preferencial Classe A;0;0.000000
02.016.440/0001-62;2022-01-01;5;125875;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;PNB;Preferencial Classe B;0;0.000000
